input1,input2,input3,output1
kjdbugstpfnrqhaz,npimldehxzcasyfo,dqshzdndtdkfa,iseyoicihinzf
dbzoiefymug,pubnhjxgktf,ydb,gpu
cxnvh,rlewj,nnccccccvcccncncnv,eerrrrrrwrrrererew
vohpmzwca,jwxqgbuih,zamcvcam,bhgijihg
uncmksvzqlprxgobwtdjfeaiy,orudcxkeambhflqpiwzytvgsn,afxyjukanywncignvkuzu,gtfnyocgrniruslrkcoeo
yqnmwfkuzlc,atibscmlfjx,qmwqlfukyz,tbstjclmaf
xgnzdcuatvlqmbky,agzmfnvlqdoisetx,vbaqmvq,delisdi
slojxaqrcdntwuemvzpg,enqcdpmyowhvkftsrbxi,tar,vpy
wlh,som,w,s
sozfxemjbhn,tpuwhqdyoik,esfnhsebmobnzfozxjobehon,qtwkitqodpokuwpuhypoqipk
buojqahz,gfkzlcua,obqubhuh,kglfgufu
trqgjuomlybdwcezxhp,nkwgrqlomyjchdetfui,xdjrodbzylephxpby,fcrklcjtymeiufijy
czpnhda,juqvbem,ahchcnnnznahz,mbjbjvvvuvmbu
ih,fb,ihhhiihhhhihhhhhiih,fbbbffbbbbfbbbbbffb
yomphdjiaxcefwglsvrkbtquz,gyjzdemfausqkrnilpcthvowx,lxgcaglqvkdjrfpgxkmrox,iunsanioptemckznutjcyu
yrv,nds,yvrrvry,nsddsdn
ptfmznlwgueshqrxvabyjo,grcqvubajmelfizdwyhosx,wlvvphutaju,abwwgfmrysm
zqevigmfujhwtdypklcxs,sqbkewhcxpruzgmifjvdl,itesmdhevtyfjieeuhqdwhlg,ezblhgrbkzmcpebbxrqgurjw
txjdmveqafynpusoblhg,vzdfahqomytjebipkxsn,jjmadptbajaxhpboesqd,ddamfevkmdmzsekpqiof
czrtjn,hygtmo,jnjrrtnnj,momggtoom
qwnztvoebluxyschmiajpf,ugljcaekwsnitxzyhdboqm,snszillm,xlxjdssh
jmcbefphvl,olahzbykgi,bbplhpclbljcbfevhvmppvj,hhyikyaihioahbzgkglyygo
funoxchdpim,dnimsvzfhca,,
svmtpjzwunfhexry,byezdcriajmxwsop,mrxsp,eosbd
ogviqj,ahgdir,gvovvgijvjqgqivvgjgvioggog,hgagghdrgrihidgghrhgdahhah
db,lo,ddddddddb,llllllllo
pdblyjnhogxtcfzkrwevi,nmcpdufijxrwkqyolevgz,evroodebxdcvgjky,vgljjmvcrmkgxuod
tcvesxnuj,fpcdqawri,cnetcccsveje,pwdfpppqcdid
jbzrvwfikextqsp,ykeanwgojbpqivt,kjzkxjqr,jyejpyia
vnehijgklqwbdcr,jktvcrsxdnobump,ecclvwnhhvbbckignniqcdlrcv,tmmdjokvvjbbmxcskkcnmudpmj
clsbnuxgfviajowptrqhk,einpclwhvfmtjadzqguyk,hrppb,ygzzp
cx,fl,,
cukaxqsizyohwerdtgvmfljb,quidyvzlxknohwmsjrecpgba,rmgflmtjhbzctwdla,mcrpgcjboaxqjhsgd
gcvrh,wvamf,ggggcrrhchrrrrcrgcrrh,wwwwvmmfvfmmmmvmwvmmf
ah,wb,haahhhhhhahahhahhahh,bwwbbbbbbwbwbbwbbwbb
qyzr,wvmp,rrzzqyzqzzyrqq,ppmmwvmwmmvpww
gvopkhcmyw,rzxvqjbmus,vgmhmvywkwvmykmypyyyyk,zrmjmzusqszmuqmuvuuuuq
pkjhntbuvwslrcaexqmig,ogitadrplmkqwnyxuvfbe,vsutealhusstpbcknwgmv,lkpdxyqtpkkdorngamefl
xlbrvnsqkojude,rihjodyvmxgqwz,vqlunrkruejnrnvvxxvnxvsqr,oviqdjmjqzgdjdoorrodroyvj
